Year,Population,State,index,violent,property,murder,rape,robbery,assault,burglary,ltheft,vtheft
2008,804532,South Dakota,1981.4,276.061,1705.339,4.599,69.854,16.656,184.952,322.051,1273.287,110.002
2008,688125,Alaska,3571.444,650.899,2920.545,3.924,64.668,93.588,488.719,469.682,2213.987,236.876
2008,4677464,Alabama,4519.564,451.292,4068.273,7.632,34.591,157.008,252.06,1077.058,2703.623,287.592
2008,2867764,Arkansas,4331.737,504.644,3827.093,5.719,49.69,96.103,353.132,1177.642,2422.863,226.588
2008,6499377,Arizona,4568.992,481.185,4087.807,6.985,33.742,150.122,290.336,894.316,2605.573,587.918
2008,36580371,California,3460.706,506.209,2954.497,5.856,24.338,189.678,286.337,649.868,1778.312,526.318
2008,4935213,Colorado,3206.265,347.077,2859.188,3.161,42.43,68.265,233.222,571.85,2015.475,271.863
2008,3502932,Connecticut,2796.143,306.515,2489.629,3.768,19.412,115.418,167.916,431.267,1804.545,253.816
2008,876211,Delaware,4283.443,706.108,3581.9,6.505,42.341,210.794,446.468,774.129,2515.947,291.825
2008,18423878,Florida,4804.45,685.306,4119.144,6.345,32.414,196.859,449.688,1022.993,2751.397,344.754
2008,9697838,Georgia,4480.999,489.398,3991.601,6.703,24.17,184.185,274.339,1037.984,2545.351,408.266
2008,1287481,Hawaii,3841.144,272.625,3568.519,2.019,28.195,84.273,158.138,730.419,2440.735,397.365
2008,2993987,Iowa,2736.385,288.946,2447.439,2.572,31.296,41.717,213.361,554.378,1746.901,146.16
2008,968035,Montana,3020.655,301.435,2719.22,3.409,35.743,20.97,241.314,377.466,2158.806,182.948
2008,9247134,North Carolina,4496.636,466.307,4030.33,6.543,24.764,154.87,280.13,1206.222,2535.11,288.998
2008,641421,North Dakota,2206.039,189.579,2016.46,0.78,44.588,11.381,132.83,359.202,1516.633,140.625
2008,1781949,Nebraska,3191.449,310.727,2880.722,3.872,33.671,72.785,200.399,489.183,2154.551,236.988
2008,1321872,New Hampshire,2283.201,160.908,2122.293,1.059,30.26,32.076,97.513,327.717,1688.212,106.364
2008,8663398,New Jersey,2625.736,327.25,2298.486,4.34,12.951,146.605,163.354,466.353,1599.199,232.934
2008,1527506,Idaho,2352.2,240.785,2111.416,1.506,37.774,15.777,185.728,445.497,1556.262,109.656
2008,12842954,Illinois,3496.758,528.227,2968.53,6.151,31.955,187.395,302.726,614.874,2098.84,254.817
2008,6388309,Indiana ,3654.786,336.865,3333.574,5.04,26.736,118.826,186.262,765.539,2293.956,274.079
2008,2797375,Kansas,3816.971,414.174,3402.797,4.04,43.97,60.128,306.037,705.769,2431.851,265.177
2008,4287931,Kentucky,2964.273,298.862,2665.411,4.711,33.793,94.684,165.674,688.794,1797.907,178.711
2008,4451513,Louisiana,4509.096,664.403,3844.693,12.153,28.148,140.402,483.701,1022.416,2517.391,304.885
2008,6543595,Massachusetts,2842.031,456.752,2385.279,2.552,26.652,108.06,319.488,554.13,1635.92,195.229
2008,5658655,Maryland,4125.786,625.325,3500.461,8.712,19.916,233.289,363.408,686.17,2366.675,447.615
2008,1319691,Maine,2576.74,119.119,2457.621,2.349,28.719,25.233,62.818,497.01,1871.271,89.339
2008,10002486,Michigan ,3459.67,513.712,2945.958,5.539,44.849,132.307,331.018,746.674,1842.222,357.061
2008,5230567,Minnesota ,3115.838,263.279,2852.559,2.084,34.509,79.896,146.791,506.312,2152.329,193.918
2008,5956335,Missouri ,4134.858,498.813,3636.045,7.656,27.097,124.17,339.89,768.459,2519.015,348.57
2008,2940212,Mississippi,3244.562,304.468,2940.094,7.959,31.528,105.162,159.818,877.828,1846.193,216.073
2008,1986763,New Mexico,4467.569,654.834,3812.735,7.55,56.071,108.317,482.896,1042.902,2365.858,403.974
2008,2615772,Nevada,4159.002,723.19,3435.812,6.308,42.206,247.537,427.14,925.463,1901.809,608.539
2008,19467789,New York,2394.371,398.33,1996.041,4.294,14.378,163.29,216.368,336.643,1530.487,128.91
2008,11528072,Ohio,3756.665,349.946,3406.719,4.78,39.157,163.115,142.895,890.14,2267.292,249.287
2008,3644025,Oklahoma ,3983.068,528.015,3455.053,5.818,40.203,101.015,380.98,964.346,2190.792,299.916
2008,3782991,Oregon,3565.565,260.191,3305.374,2.247,31.139,70.209,156.596,556.517,2448.407,300.45
2008,12566368,Pennsylvania,2795.979,406.243,2389.736,5.626,27.741,150.187,222.69,467.016,1743.758,178.962
2008,1053502,Rhode Island ,3089.79,252.112,2837.679,2.943,26.768,83.531,138.87,547.317,1986.328,304.034
2008,4503280,South Carolina,4946.417,727.292,4219.125,6.817,37.373,146.471,536.631,1020.811,2805.955,392.358
2008,6240456,Tennessee,4752.297,720.588,4031.709,6.602,33.411,173.208,507.367,1045.837,2677.368,308.503
2008,24304290,Texas,4499.23,508.495,3990.736,5.637,33.142,155.277,314.438,946.557,2692.866,351.312
2008,2727343,Utah,3609.997,224.761,3385.236,1.467,33.586,52.139,137.57,540.966,2577.894,266.376
2008,7795424,Virginia,2780.323,257.048,2523.275,4.746,23.014,95.825,133.463,412.858,1939.227,171.19
2008,621049,Vermont,2698.177,137.509,2560.668,2.737,21.415,14.975,98.382,565.978,1900.333,94.356
2008,590074,Washington DC,6561.889,1442.023,5119.866,31.521,31.521,750.753,628.226,641.953,3382.288,1095.625
2008,6566073,Washington,4091.091,331.081,3775.24,2.939,40.009,97.425,190.708,803.464,2533.996,437.781
2008,5627610,Wisconsin,3036.245,275.41,2760.835,2.594,20.044,91.744,161.028,487.863,2068.729,205.043
2008,1814873,West Virginia ,2830.832,276.989,2553.843,3.692,21.599,49.535,202.163,601.364,1776.488,175.99
2008,532981,Wyoming,2968.774,246.163,2722.611,2.251,34.523,16.136,193.253,412.773,2174.186,135.652
